other way around,наоборот,,4,
seamless,бесшовный,,4,
pile,куча,,4,
vague,расплывчатый / нечеткий,,3,
contain,сдерживать,,3,
tug,буксир,,3,
clearance,зазор,,3,
leverage,применять. эксплуатировать,,3,
soldering iron,паяльник,,2,
retain,удерживать / помнить,,2,
big kudos,большой респект,,0,
later,позже,,0,
especially,особенно,,0,
feel blue,хандрить,,0,
quadruplets,четыре близнеца,,0,
What is going on (here)?,Что (здесь) происходит?,,0,
alongside,бок о бок,,0,
at night,ночью,,0,
hypocrite,лицемер,,0,
last modified,последний раз изменено: (дата),,0,
hose,шланг,,0,
up until now,до сих пор,,0,
mediocrity,посредственность,,0,
lightness,лёгкость,,0,
roast,запекать. жареный,,0,
at heart,В глубине души,,0,
ambivalent,противоречивый,,0,
stepdaughter,падчерица,,0,
interrupt,прерывать,,0,
be on guard,быть настороже,,0,
malpractice,злоупотребление служебным положением,,0,
September,сентябрь,,0,
thoroughly,тщательно,,0,
feasible,выполнимый,,0,
squatting down,сидеть на корточках,,0,
Onto,на,,0,
user name,имя пользователя,,0,
undeniably,неоспоримо,,0,
grasp,понять / осознать / схватывать,,0,
prerequisites,предварительные условия,,0,
confine,ограничивать,,0,
frequently,часто,,0,
host,Множество,,0,
disadvantages,невыгодное положение / ущерб,,0,
i'm nearly certain,я почти уверен,,0,
caption,заголовок / подпись под картинкой / захват,,0,
imminent,надвигающийся,,0,
CAN DOUCHEBAGS ROOM A GIRL?,МОГУТ ЛИ ПРИДУРКИ ПОСЕЛИТЬ ДЕВУШКУ?,,0,
comprise,заключать в себе / вмещать,,0,
inception,начало / отправная точка,,0,
confusion,смятение,,0,
fabulous,Изумительный,,0,
unified,единый,,0,
i've double-booked myself,я забронировал номер дважды.,,0,
обезвоживание,dehydration,,0,
recklessly,опрометчиво,,0,
nurture,воспитание,,0,
moved,растроганный,,0,
praise,хвалить,,0,
the day before yesterday,позавчера,,0,
make a big deal,раздувать / поднимать шум,,0,
outskirts,окраина,,0,
eagerly,с нетерпением,,0,
obsess over,зацикливаться на / думать о (амер),,0,
today,сегодня,,0,
wrap it up,заканчивай! завершай! подводи к концу!,,0,
attraction,привлекательность,,0,
ragged,рваный,,0,
yield results,давать результаты,,0,
chores,повседневная работа по дому / по хозяйству,,0,
